species_code,scientific_name,data_year,type,percent_forested_population,percent_global_population
royter1,Thalasseus maximus,2022,nonbreeding,0.44047136890192007,4.6003129393089103e-4
buwtea,Spatula discors,2022,breeding,0.5280720293727782,4.590691776984707e-4
heegul,Larus heermanni,2022,breeding,0.35157496461206633,4.553961081446847e-4
sheowl,Asio flammeus,2022,nonbreeding,0.3077501525376572,4.5319486382092324e-4
glwgul,Larus glaucescens,2022,nonbreeding,0.20212626140476192,4.468899706533088e-4
scoori,Icterus parisorum,2022,nonbreeding,0.5667364895792255,4.4589792533887405e-4
mewgul2,Larus brachyrhynchus,2022,nonbreeding,0.14337596199907118,4.355268664345163e-4
cubthr,Toxostoma curvirostre,2022,resident,0.20468218509593572,4.31341632861731e-4
varbun,Passerina versicolor,2022,breeding,0.06377731071739547,4.254886853671822e-4
bktspa,Amphispiza bilineata,2022,nonbreeding,0.13420229432112846,4.2395080217886476e-4
graspa,Ammodramus savannarum,2022,nonbreeding,0.12901076218917,4.092345002101139e-4
sagspa1,Artemisiospiza nevadensis,2022,nonbreeding,0.14923238697738894,4.083228207633451e-4
amebit,Botaurus lentiginosus,2022,nonbreeding,0.46196899758424936,3.9486835422384827e-4
barswa,Hirundo rustica,2022,breeding,0.3662956302770235,3.9305947711603415e-4
leater1,Sternula antillarum,2022,breeding,0.34098414195110394,3.9191185824729235e-4
btywar,Setophaga nigrescens,2022,nonbreeding,0.1297314670997813,3.854976875103519e-4
mouplo,Anarhynchus montanus,2021,nonbreeding,0.338256586144205,3.8150099894485484e-4
eucdov,Streptopelia decaocto,2022,resident,0.39363178716520625,3.746900934546228e-4
borchi2,Poecile hudsonicus,2022,resident,0.8069650649256754,3.6554507407914353e-4
houwre,Troglodytes aedon,2022,nonbreeding,0.42176529388724737,3.6525075066761413e-4
cacwre,Campylorhynchus brunneicapillus,2022,resident,0.1367538433078902,3.415068339083737e-4
reevir1,Vireo olivaceus,2022,breeding,0.27140111706454884,3.221022817111203e-4
norsho,Spatula clypeata,2022,breeding,0.41981754076869554,3.159663354582849e-4
comloo,Gavia immer,2022,breeding,0.49638038525255085,3.133516869929964e-4
licpar,Amazona finschi,2021,resident,0.3420678397746844,3.1240254602012303e-4
parjae,Stercorarius parasiticus,2022,nonbreeding,0.5457585001265952,3.071568947635992e-4
chukar,Alectoris chukar,2022,resident,0.17487009555772434,3.0399787407818464e-4
amebit,Botaurus lentiginosus,2022,breeding,0.32207322224973195,3.0072120231753376e-4
grnher,Butorides virescens,2022,nonbreeding,0.44243764990678686,2.9821446537915924e-4
comgra,Quiscalus quiscula,2022,breeding,0.42728155426650066,2.9275332339781307e-4
snogoo,Anser caerulescens,2022,nonbreeding,0.46645136424979255,2.9246434837567465e-4
sursco,Melanitta perspicillata,2022,breeding,0.12564014975097942,2.813240906332608e-4
blkski,Rynchops niger,2022,nonbreeding,0.5613494877543873,2.710687247161245e-4
shbdow,Limnodromus griseus,2022,nonbreeding,0.2940469488554702,2.705903604810381e-4
pacloo,Gavia pacifica,2022,nonbreeding,0.09266427868747829,2.6480080037078016e-4
snoegr,Egretta thula,2022,breeding,0.44329996877564143,2.6001665867214245e-4
blkter,Chlidonias niger,2022,breeding,0.22257265375078086,2.600012267564846e-4
osprey,Pandion haliaetus,2022,nonbreeding,0.36411501050680745,2.5784381526364376e-4
blktur,Arenaria melanocephala,2022,nonbreeding,0.07255407937051768,2.552886035359909e-4
gnwtea,Anas crecca,2022,nonbreeding,0.3148945571366866,2.484630566469833e-4
leabit,Ixobrychus exilis,2022,breeding,0.4216358473885971,2.4538532748287397e-4
rengre,Podiceps grisegena,2022,nonbreeding,0.15669907866140034,2.4276099558025735e-4
heptan,Piranga flava,2022,nonbreeding,0.17682059404261913,2.4264865862684941e-4
leabit,Ixobrychus exilis,2022,nonbreeding,0.5320217386468052,2.3989500623480394e-4
abetow,Melozone aberti,2022,resident,0.08460448617105797,2.3924152741934302e-4
whwdov,Zenaida asiatica,2022,breeding,0.11411752974635993,2.3462299574070048e-4
lesnig,Chordeiles acutipennis,2022,breeding,0.10621156822870624,2.2232465608892582e-4
vigswa,Tachycineta thalassina,2022,nonbreeding,0.49176211221288285,2.1692181257818352e-4
fisspa,Amphispizopsis quinquestriata,2021,resident,0.050184299431621386,2.0963182964682124e-4
bcnher,Nycticorax nycticorax,2022,nonbreeding,0.4125740653255079,2.0266504399337926e-4
gnwtea,Anas crecca,2022,breeding,0.4099309047173701,1.9942696833590966e-4
burowl,Athene cunicularia,2022,breeding,0.5697432243343478,1.9079326691177583e-4
hergul,Larus argentatus,2022,nonbreeding,0.3135943040663592,1.885027415467761e-4
houspa,Passer domesticus,2022,resident,0.49785118479569024,1.883431407747069e-4
rocpig,Columba livia,2022,resident,0.41661632062715637,1.8301746819847115e-4
yelrai,Coturnicops noveboracensis,2021,breeding,0.13388140966523046,1.8029095673436423e-4
rempar,Psittacara erythrogenys,2021,resident,0.12206194782048933,1.7968302156334603e-4
nutman,Lonchura punctulata,2022,resident,0.40897327535101186,1.775062061530104e-4
greegr,Ardea alba,2022,breeding,0.3580777198904146,1.7412747473315212e-4
nobtyr,Camptostoma imberbe,2022,breeding,0.04917227202279341,1.689719373322705e-4
orcori,Icterus spurius,2022,breeding,0.5453195139300686,1.6731364547532026e-4
treswa,Tachycineta bicolor,2022,nonbreeding,0.4111828718703512,1.671060319242973e-4
merlin,Falco columbarius,2022,breeding,0.5951523633001288,1.6633182186192482e-4
blkski,Rynchops niger,2022,breeding,0.5056955226571448,1.661387860351367e-4
bcnher,Nycticorax nycticorax,2022,breeding,0.4031159173183349,1.6503922148637242e-4
whimbr,Numenius phaeopus,2022,nonbreeding,0.27742319289621414,1.6189883764389747e-4
westan,Piranga ludoviciana,2022,nonbreeding,0.47179848262265384,1.6069096982072214e-4
bknsti,Himantopus mexicanus,2022,nonbreeding,0.38807806178912274,1.560656997154686e-4
snoegr,Egretta thula,2022,nonbreeding,0.38182601886036777,1.5151908777688997e-4
mitpar,Psittacara mitratus,2021,resident,0.541710561445265,0.00014323839140268241
grtgra,Quiscalus mexicanus,2022,breeding,0.42020547926779006,1.3929498681999113e-4
norcar,Cardinalis cardinalis,2022,resident,0.2545511946345848,1.3243578939365158e-4
vichum,Ramosomyia violiceps,2022,breeding,0.3416298994451528,1.2798048139912163e-4
bulori,Icterus bullockii,2022,nonbreeding,0.3944115264743537,1.2791652568763296e-4
bktgna,Polioptila melanura,2022,resident,0.0858940013600216,1.1949028580071146e-4
brthum,Selasphorus platycercus,2022,nonbreeding,0.7886269647818038,1.181712432998062e-4
yebcuc,Coccyzus americanus,2022,breeding,0.1239544083791254,1.1735025106380719e-4
sheowl,Asio flammeus,2022,breeding,0.27964541400559,1.1701764962204457e-4
whehum,Basilinna leucotis,2021,breeding,0.4723934294654154,1.136248352194319e-4
indbun,Passerina cyanea,2022,breeding,0.28389149071865344,1.0748066737390388e-4
chirav,Corvus cryptoleucus,2022,resident,0.2244243830519354,1.065113367308409e-4
sprpip,Anthus spragueii,2022,nonbreeding,0.1972534730508264,1.0002669028598951e-4
bkbplo,Pluvialis squatarola,2022,breeding,0.23495348654247258,9.825147776501675e-5
lazbun,Passerina amoena,2022,nonbreeding,0.034638832529611745,9.742462605619589e-5
loeowl,Asio otus,2022,breeding,0.4019985703780949,9.719837288437343e-5
chclon,Calcarius ornatus,2022,nonbreeding,0.1282189428016599,9.212939895303218e-5
zothaw,Buteo albonotatus,2022,nonbreeding,0.5692988025984586,9.139792639371904e-5
casvir,Vireo cassinii,2022,nonbreeding,0.09046211770228162,9.002372815920687e-5
plsvir,Vireo plumbeus,2022,nonbreeding,0.14998284316719873,8.947466372843384e-5
nobtyr,Camptostoma imberbe,2022,nonbreeding,0.10345281670542074,8.841656398380606e-5
easowl1,Megascops asio,2022,resident,0.3054467452610824,8.64738539429798e-5
dickci,Spiza americana,2022,breeding,0.49244172945585535,8.548627925115174e-5
lilmea2,Sturnella lilianae,2022,nonbreeding,0.03123150639132656,8.48742271612514e-5
grtgra,Quiscalus mexicanus,2022,nonbreeding,0.3966645553984148,7.942668096032317e-5
comgol,Bucephala clangula,2022,breeding,0.35463372669340537,7.822615089674451e-5
rebmer,Mergus serrator,2022,nonbreeding,0.25197942807942936,7.80048983292375e-5
pasfly,Empidonax difficilis [difficilis Group],2021,nonbreeding,0.38813801419729854,7.74968428577921e-5
verfly,Pyrocephalus rubinus,2022,breeding,0.07558023724497152,7.717463827471733e-5
greegr,Ardea alba,2022,nonbreeding,0.2831060798131066,7.502735463203141e-5
loeowl,Asio otus,2022,nonbreeding,0.3803146120109548,7.354335662763016e-5
benthr,Toxostoma bendirei,2022,breeding,0.06501327435999865,6.858121788650246e-5
bnhcow,Molothrus ater,2022,nonbreeding,0.3670881053387571,6.658854249430079e-5
marmur,Brachyramphus marmoratus,2022,resident,0.12882009731048286,6.54262580336996e-5
easblu,Sialia sialis,2022,breeding,0.1901511173552298,6.541501193671131e-5
cogdov,Columbina passerina,2022,breeding,0.1064205567063699,6.445567499621718e-5
norpin,Anas acuta,2022,breeding,0.37046689540757655,6.273850608233349e-5
pyrrhu,Cardinalis sinuatus,2022,resident,0.05650408734254591,6.266332897960065e-5
brant,Branta bernicla,2022,nonbreeding,0.02579805475809883,5.9522038243711865e-5
brocow,Molothrus aeneus,2022,breeding,0.08678851177582796,5.755371665007383e-5
sancra,Antigone canadensis,2022,nonbreeding,0.699871287749801,5.588455531990535e-5
easblu,Sialia sialis,2022,nonbreeding,0.13133301888192125,5.504986336305663e-5
lecthr,Toxostoma lecontei,2022,resident,0.09176256517534707,5.333181380621948e-5
comgal1,Gallinula galeata,2022,nonbreeding,0.47290078474797254,4.959101971204082e-5
bucnig,Antrostomus ridgwayi,2021,breeding,0.044325712290940185,4.934165013758004e-5
nstspa,Ammospiza nelsoni,2022,breeding,1,4.9300836306728966e-5
hrshaw,Parabuteo unicinctus,2022,resident,0.3357961068292155,4.703658302735679e-5
yehbla,Xanthocephalus xanthocephalus,2022,nonbreeding,0.27419844328847326,4.632392563058237e-5
redegr,Egretta rufescens,2022,resident,0.3808388517473718,4.623913628471119e-5
brbhum,Cynanthus latirostris,2022,nonbreeding,0.48720697806731394,4.037381262772357e-5
thbkin,Tyrannus crassirostris,2022,breeding,0.016907915256143963,3.764853061504809e-5
blujay,Cyanocitta cristata,2022,nonbreeding,0.34827918791669,3.595671822935859e-5
whfibi,Plegadis chihi,2022,nonbreeding,0.5743178602332215,3.519650817863986e-5
blujay,Cyanocitta cristata,2022,breeding,0.33094098210163847,3.268333012241949e-5
refwar,Cardellina rubrifrons,2022,nonbreeding,0.7886269609310221,3.23423820985206e-5
swiwhe1,Zosterops simplex,2021,breeding,0.4026577733459602,3.157908630228992e-5
comgal1,Gallinula galeata,2022,breeding,0.37922039465314045,3.150869955037672e-5
whtspa,Zonotrichia albicollis,2022,nonbreeding,0.4520450848097048,3.08027354689494e-5
mutswa,Cygnus olor,2022,nonbreeding,0.43801561091367164,3.055683069341318e-5
wesfly,Empidonax difficilis,2022,nonbreeding,0.44146302245694596,2.913408135706756e-5
casspa,Peucaea cassinii,2022,nonbreeding,0.03147046773039648,2.854169548715458e-5
gwfgoo,Anser albifrons,2022,nonbreeding,0.30514358376317186,2.838438462775147e-5
swiwhe1,Zosterops simplex,2021,nonbreeding,0.46109439665258156,2.7111739970212588e-5
caster1,Hydroprogne caspia,2022,nonbreeding,0.33331466078370775,2.5238205681586595e-5
shthaw,Buteo brachyurus,2022,breeding,0.7697175222307421,2.4295804851733275e-5
herwar,Setophaga occidentalis,2022,nonbreeding,0.35672983372278755,2.4185138481487348e-5
berhum,Saucerottia beryllina,2022,resident,0.8024099363814253,2.0302174082297354e-5
tenwar,Leiothlypis peregrina,2022,breeding,0.780990984950253,1.9903155363977592e-5
buwtea,Spatula discors,2022,nonbreeding,0.3216173001675136,1.9140314900560075e-5
rosgoo,Anser rossii,2022,nonbreeding,0.2795026041617866,1.8760122615916393e-5
whwdov,Zenaida asiatica,2022,nonbreeding,0.054559495853402994,1.8565119853946977e-5
whwsco2,Melanitta deglandi,2022,nonbreeding,0.060545875838363225,1.7956762458835752e-5
ycnher,Nyctanassa violacea,2022,breeding,0.3130190159877991,1.7935754110295304e-5
mcclon,Rhynchophanes mccownii,2022,nonbreeding,0.1487977555357766,1.6882384379298493e-5
