"species_code","scientific_name","common_name","resident","breeding_quality","breeding_range_modeled","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_range_modeled","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_range_modeled","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_range_modeled","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end"
"orbspa1","Arremon aurantiirostris","Orange-billed Sparrow",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"ccbfin","Arremon brunneinucha","Chestnut-capped Brushfinch",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"amtspa","Spizelloides arborea","American Tree Sparrow",FALSE,"3","TRUE",2021-05-24,2021-08-10,"3","TRUE",2021-12-14,2021-02-15,"3","TRUE",2021-08-17,2021-12-07,"3","TRUE",2021-02-22,2021-05-17,NA,NA,NA
"foxspa","Passerella iliaca","Fox Sparrow",FALSE,"3","TRUE",2021-05-24,2021-08-03,"3","TRUE",2021-12-28,2021-02-15,"3","TRUE",2021-08-24,2021-12-21,"3","TRUE",2021-02-22,2021-05-17,NA,NA,NA
"daejun","Junco hyemalis","Dark-eyed Junco",FALSE,"3","TRUE",2021-05-31,2021-08-31,"3","TRUE",2021-12-21,2021-02-08,"3","TRUE",2021-09-07,2021-12-14,"3","TRUE",2021-02-15,2021-05-17,NA,NA,NA
"yeejun","Junco phaeonotus","Yellow-eyed Junco",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"voljun1","Junco vulcani","Volcano Junco",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"rucspa1","Zonotrichia capensis","Rufous-collared Sparrow",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"whcspa","Zonotrichia leucophrys","White-crowned Sparrow",FALSE,"3","TRUE",2021-06-21,2021-08-03,"3","TRUE",2021-11-30,2021-03-15,"3","TRUE",2021-08-10,2021-11-23,"3","TRUE",2021-03-22,2021-06-14,NA,NA,NA
"gocspa","Zonotrichia atricapilla","Golden-crowned Sparrow",FALSE,"3","TRUE",2021-06-14,2021-08-10,"3","TRUE",2021-11-23,2021-03-15,"3","TRUE",2021-08-17,2021-11-16,"3","TRUE",2021-03-22,2021-06-07,NA,NA,NA
